Provincia,Canton,Distrito
ALAJUELA,ALAJUELA,ALAJUELA
ALAJUELA,ALAJUELA,CARRIZAL
ALAJUELA,ALAJUELA,DESAMPARADOS
ALAJUELA,ALAJUELA,GARITA
ALAJUELA,ALAJUELA,GUACIMA
ALAJUELA,ALAJUELA,RIO SEGUNDO
ALAJUELA,ALAJUELA,SABANILLA
ALAJUELA,ALAJUELA,SAN ANTONIO
ALAJUELA,ALAJUELA,SAN ISIDRO
ALAJUELA,ALAJUELA,SAN JOSE
ALAJUELA,ALAJUELA,SAN RAFAEL
ALAJUELA,ALAJUELA,SARAPIQUI
ALAJUELA,ALAJUELA,TAMBOR
ALAJUELA,ALAJUELA,TURRUCARES
ALAJUELA,ALFARO RUIZ,BRISAS
ALAJUELA,ALFARO RUIZ,GUADALUPE
ALAJUELA,ALFARO RUIZ,LAGUNA
ALAJUELA,ALFARO RUIZ,PALMIRA
ALAJUELA,ALFARO RUIZ,TAPESCO
ALAJUELA,ALFARO RUIZ,ZAPOTE
ALAJUELA,ALFARO RUIZ,ZARCERO
ALAJUELA,ATENAS,ATENAS
ALAJUELA,ATENAS,CONCEPCION
ALAJUELA,ATENAS,ESCOBAL
ALAJUELA,ATENAS,JESUS
ALAJUELA,ATENAS,MERCEDES
ALAJUELA,ATENAS,SAN ISIDRO
ALAJUELA,ATENAS,SAN JOSE
ALAJUELA,ATENAS,SANTA EULALIA
ALAJUELA,GRECIA,BOLIVAR
ALAJUELA,GRECIA,GRECIA
ALAJUELA,GRECIA,PUENTE DE PIEDRA
ALAJUELA,GRECIA,RIO CUARTO
ALAJUELA,GRECIA,SAN ISIDRO
ALAJUELA,GRECIA,SAN JOSE
ALAJUELA,GRECIA,SAN ROQUE
ALAJUELA,GRECIA,TACARES
ALAJUELA,GUATUSO,BUENAVISTA
ALAJUELA,GUATUSO,COTE
ALAJUELA,GUATUSO,SAN RAFAEL
ALAJUELA,LOS CHILES,CANO NEGRO
ALAJUELA,LOS CHILES,EL AMPARO
ALAJUELA,LOS CHILES,LOS CHILES
ALAJUELA,LOS CHILES,SAN JORGE
ALAJUELA,NARANJO,CIRRI SUR
ALAJUELA,NARANJO,NARANJO
ALAJUELA,NARANJO,ROSARIO
ALAJUELA,NARANJO,SAN JERONIMO
ALAJUELA,NARANJO,SAN JOSE
ALAJUELA,NARANJO,SAN JUAN
ALAJUELA,NARANJO,SAN MIGUEL
ALAJUELA,OROTINA,CEIBA
ALAJUELA,OROTINA,COYOLAR
ALAJUELA,OROTINA,HACIENDA VIEJA
ALAJUELA,OROTINA,MASTATE
ALAJUELA,OROTINA,OROTINA
ALAJUELA,PALMARES,BUENOS AIRES
ALAJUELA,PALMARES,CANDELARIA
ALAJUELA,PALMARES,ESQUIPULAS
ALAJUELA,PALMARES,GRANJA
ALAJUELA,PALMARES,PALMARES
ALAJUELA,PALMARES,SANTIAGO
ALAJUELA,PALMARES,ZARAGOZA
ALAJUELA,POAS,CARRILLOS
ALAJUELA,POAS,SABANA REDONDA
ALAJUELA,POAS,SAN JUAN
ALAJUELA,POAS,SAN PEDRO
ALAJUELA,POAS,SAN RAFAEL
ALAJUELA,SAN CARLOS,AGUAS ZARCAS
ALAJUELA,SAN CARLOS,BUENA VISTA
ALAJUELA,SAN CARLOS,CUTRIS
ALAJUELA,SAN CARLOS,FLORENCIA
ALAJUELA,SAN CARLOS,FORTUNA
ALAJUELA,SAN CARLOS,MONTERREY
ALAJUELA,SAN CARLOS,PALMERA
ALAJUELA,SAN CARLOS,PITAL
ALAJUELA,SAN CARLOS,POCOSOL
ALAJUELA,SAN CARLOS,QUESADA
ALAJUELA,SAN CARLOS,TIGRA
ALAJUELA,SAN CARLOS,VENADO
ALAJUELA,SAN CARLOS,VENECIA
ALAJUELA,SAN MATEO,DESMONTE
ALAJUELA,SAN MATEO,JESUS MARIA
ALAJUELA,SAN MATEO,SAN MATEO
ALAJUELA,SAN RAMON,ALFARO
ALAJUELA,SAN RAMON,ANGELES
ALAJUELA,SAN RAMON,CONCEPCION
ALAJUELA,SAN RAMON,PEÑAS BLANCAS
ALAJUELA,SAN RAMON,PIEDADES NORTE
ALAJUELA,SAN RAMON,PIEDADES SUR
ALAJUELA,SAN RAMON,SAN ISIDRO
ALAJUELA,SAN RAMON,SAN JUAN
ALAJUELA,SAN RAMON,SAN RAFAEL
ALAJUELA,SAN RAMON,SAN RAMON
ALAJUELA,SAN RAMON,SANTIAGO
ALAJUELA,SAN RAMON,VOLIO
ALAJUELA,SAN RAMON,ZAPOTAL
ALAJUELA,UPALA,AGUAS CLARAS
ALAJUELA,UPALA,BIJAGUA
ALAJUELA,UPALA,DELICIAS
ALAJUELA,UPALA,DOS RIOS
ALAJUELA,UPALA,SAN JOSE
ALAJUELA,UPALA,UPALA
ALAJUELA,UPALA,YOLILLAL
ALAJUELA,VALVERDE VEGA,RODRIGUEZ
ALAJUELA,VALVERDE VEGA,SAN PEDRO
ALAJUELA,VALVERDE VEGA,SARCHI NORTE
ALAJUELA,VALVERDE VEGA,SARCHI SUR
ALAJUELA,VALVERDE VEGA,TORO AMARILLO
CARTAGO,ALVARADO,CAPELLADES
CARTAGO,ALVARADO,CERVANTES
CARTAGO,ALVARADO,PACAYAS
CARTAGO,CARTAGO,AGUACALIENTE
CARTAGO,CARTAGO,CARMEN
CARTAGO,CARTAGO,CORRALILLO
CARTAGO,CARTAGO,DULCE NOMBRE
CARTAGO,CARTAGO,GUADALUPE
CARTAGO,CARTAGO,LLANO GRANDE
CARTAGO,CARTAGO,OCCIDENTAL
CARTAGO,CARTAGO,ORIENTAL
CARTAGO,CARTAGO,QUEBRADILLA
CARTAGO,CARTAGO,SAN NICOLAS
CARTAGO,CARTAGO,TIERRA BLANCA
CARTAGO,EL GUARCO,PATIO DE AGUA
CARTAGO,EL GUARCO,SAN ISIDRO
CARTAGO,EL GUARCO,TEJAR
CARTAGO,EL GUARCO,TOBOSI
CARTAGO,JIMENEZ,JUAN VIÑAS
CARTAGO,JIMENEZ,PEJIBAYE
CARTAGO,JIMENEZ,TUCURRIQUE
CARTAGO,LA UNION,CONCEPCION
CARTAGO,LA UNION,DULCE NOMBRE
CARTAGO,LA UNION,RIO AZUL
CARTAGO,LA UNION,SAN DIEGO
CARTAGO,LA UNION,SAN JUAN
CARTAGO,LA UNION,SAN RAFAEL
CARTAGO,LA UNION,SAN RAMON
CARTAGO,LA UNION,TRES RIOS
CARTAGO,OREAMUNO,CIPRESES
CARTAGO,OREAMUNO,COT
CARTAGO,OREAMUNO,POTRERO CERRADO
CARTAGO,OREAMUNO,SAN RAFAEL
CARTAGO,OREAMUNO,SANTA ROSA
CARTAGO,PARAISO,CACHI
CARTAGO,PARAISO,LLANOS DE SANTA LUCIA
CARTAGO,PARAISO,OROSI
CARTAGO,PARAISO,PARAISO
CARTAGO,PARAISO,SANTIAGO
CARTAGO,TURRIALBA,CHIRRIPO
CARTAGO,TURRIALBA,LA ISABEL
CARTAGO,TURRIALBA,LA SUIZA
CARTAGO,TURRIALBA,PAVONES
CARTAGO,TURRIALBA,PERALTA
CARTAGO,TURRIALBA,SANTA CRUZ
CARTAGO,TURRIALBA,SANTA ROSA
CARTAGO,TURRIALBA,SANTA TERESITA
CARTAGO,TURRIALBA,TAYUTIC
CARTAGO,TURRIALBA,TRES EQUIS
CARTAGO,TURRIALBA,TUIS
CARTAGO,TURRIALBA,TURRIALBA
GUANACASTE,ABANGARES,COLORADO (CMD)
GUANACASTE,ABANGARES,JUNTAS
GUANACASTE,ABANGARES,SAN JUAN
GUANACASTE,ABANGARES,SIERRA
GUANACASTE,BAGACES,BAGACES
GUANACASTE,BAGACES,FORTUNA
GUANACASTE,BAGACES,MOGOTE
GUANACASTE,BAGACES,RIO NARANJO
GUANACASTE,CANAS,BEBEDERO
GUANACASTE,CANAS,CANAS
GUANACASTE,CANAS,PALMIRA
GUANACASTE,CANAS,POROZAL
GUANACASTE,CANAS,SAN MIGUEL
GUANACASTE,CARRILLO,BELEN
GUANACASTE,CARRILLO,FILADELFIA
GUANACASTE,CARRILLO,PALMIRA
GUANACASTE,CARRILLO,SARDINAL
GUANACASTE,HOJANCHA,HOJANCHA
GUANACASTE,HOJANCHA,HUACAS
GUANACASTE,HOJANCHA,MONTE ROMO
GUANACASTE,HOJANCHA,PUERTO CARRILLO
GUANACASTE,LA CRUZ,LA CRUZ
GUANACASTE,LA CRUZ,LA GARITA
GUANACASTE,LA CRUZ,SANTA CECILIA
GUANACASTE,LA CRUZ,SANTA ELENA
GUANACASTE,LIBERIA,CANAS DULCES
GUANACASTE,LIBERIA,CURUBANDE
GUANACASTE,LIBERIA,LIBERIA
GUANACASTE,LIBERIA,MAYORGA
GUANACASTE,LIBERIA,NACASCOLO
GUANACASTE,LIBERIA,SARDINAL
GUANACASTE,NANDAYURE,BEJUCO
GUANACASTE,NANDAYURE,CARMONA
GUANACASTE,NANDAYURE,PORVENIR
GUANACASTE,NANDAYURE,SAN PABLO
GUANACASTE,NANDAYURE,SANTA RITA
GUANACASTE,NANDAYURE,ZAPOTAL
GUANACASTE,NICOYA,BELEN DE NOSARITA
GUANACASTE,NICOYA,MANSION
GUANACASTE,NICOYA,NICOYA
GUANACASTE,NICOYA,NOSARA
GUANACASTE,NICOYA,QUEBRADA HONDA
GUANACASTE,NICOYA,SAMARA
GUANACASTE,NICOYA,SAN ANTONIO
GUANACASTE,SANTA CRUZ,BOLSON
GUANACASTE,SANTA CRUZ,CABO VELAS
GUANACASTE,SANTA CRUZ,CARTAGENA
GUANACASTE,SANTA CRUZ,CUAJINIQUIL
GUANACASTE,SANTA CRUZ,DIRIA
GUANACASTE,SANTA CRUZ,SANTA CRUZ
GUANACASTE,SANTA CRUZ,TAMARINDO
GUANACASTE,SANTA CRUZ,TEMPATE
GUANACASTE,SANTA CRUZ,VEINTISIETE DE ABRIL
GUANACASTE,TILARAN,ARENAL
